% # columns="iteration, evaluation, void, void, void, xmean", seed=1104798, Fri May 23 11:21:17 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 0.2736645755118023 0.01253564950404807
2 12 0 0 0 0.16930341553197117 0.012765793430969386
3 18 0 0 0 -0.06735492093896803 -0.062097122174936376
4 24 0 0 0 -0.0493856885175799 -0.033290822745319776
5 30 0 0 0 -0.0809147980115821 -0.0295915462896258
6 36 0 0 0 -0.015127468944232364 0.0030838409587160068
7 42 0 0 0 -0.027540096893316005 -0.027444286149423017
8 48 0 0 0 -0.000868285863267676 0.013613172098184492
9 54 0 0 0 -0.0028841480343249036 0.006294562527731873
10 60 0 0 0 -0.010014853930758412 0.013451058961111047
11 66 0 0 0 -0.015992844744211754 -0.005829958032644619
12 72 0 0 0 -0.005146676096012843 0.012287446826823822
13 78 0 0 0 -0.011733903349777027 0.0022539287479461517
14 84 0 0 0 -0.004358358750839485 0.0013728257940668507
15 90 0 0 0 -0.0010360845356614796 -0.0027105248917311557
16 96 0 0 0 -0.002098885635640235 0.003965085082253231
17 102 0 0 0 -0.0009574006780781877 0.0028110387900062506
18 108 0 0 0 -0.0013671269578296285 -0.0005374017547501568
19 114 0 0 0 -0.0010895601344521398 -0.0011780118411062644
20 120 0 0 0 0.0013857346697702952 0.0005080862307300295
21 126 0 0 0 -0.0004101785756267034 0.002777669576480165
22 132 0 0 0 -0.00010089138887310194 0.0005967887283266577
23 138 0 0 0 -0.00041240018620084825 0.0011772718704131085
24 144 0 0 0 0.0002923562716558474 -1.9900446391357034e-05
25 150 0 0 0 0.0008639825013909952 -2.9930523398065807e-05
26 156 0 0 0 0.0006518866597678074 0.00035268172904980564
27 162 0 0 0 -0.0002220771386983731 0.00018699824586530843
28 168 0 0 0 -0.00017754689824089944 -5.533768527797784e-05
29 174 0 0 0 8.122109652313345e-05 0.00013029285977869453
30 180 0 0 0 1.7537874630870135e-05 5.044331637551298e-06
31 186 0 0 0 3.8672688257622944e-05 6.671409507164501e-05
32 192 0 0 0 8.015265629588695e-06 1.1789669100175736e-05
33 198 0 0 0 -2.5359102503502626e-05 -1.1581250638918511e-05
34 204 0 0 0 -5.293266465992441e-06 6.506248348908734e-06
35 210 0 0 0 -3.2085296607740554e-05 2.0809462098374014e-06
36 216 0 0 0 -3.0728580242528316e-05 1.3764689044939564e-05
37 222 0 0 0 -1.9791997256680414e-05 1.1454569815993237e-05
38 228 0 0 0 -1.1878013939105689e-05 1.6996830051022942e-05
39 234 0 0 0 -7.625254012522598e-06 9.78265771041112e-06
40 240 0 0 0 -7.196306276063868e-06 1.3682014885525686e-05
41 246 0 0 0 -6.976597092714383e-06 1.0171447683791446e-05
42 252 0 0 0 -2.222991307872861e-06 8.128958156089647e-06
43 258 0 0 0 -6.249631611173532e-06 4.371234223948576e-06
44 264 0 0 0 2.0655475558108246e-06 1.1543094563623341e-06
45 270 0 0 0 2.546735495624749e-06 1.4143671074810459e-07
46 276 0 0 0 1.955070594595161e-06 -2.1125710870576695e-06
47 282 0 0 0 2.2085642770250783e-06 -2.3294416370144727e-06
48 288 0 0 0 2.365178514480886e-06 -8.462601506645604e-07
49 294 0 0 0 1.8714402193959721e-06 -8.379933454263193e-07
50 300 0 0 0 6.611253847753986e-07 -3.3725916203149154e-07
51 306 0 0 0 3.708778047655317e-07 9.65555039358526e-07
52 312 0 0 0 3.803493699744542e-07 3.34240377020991e-07
53 318 0 0 0 -1.2388581017343595e-07 3.9383465350775964e-07
54 324 0 0 0 -1.0212258388834599e-07 7.779288948651641e-09
55 330 0 0 0 1.9384764753863603e-07 -1.1510515542937691e-07
56 336 0 0 0 -3.365329339898454e-08 -4.716887482360008e-08
57 342 0 0 0 9.062038602338316e-08 -8.756437756314802e-08
58 348 0 0 0 1.2022074620583245e-07 1.613703233266731e-09
59 354 0 0 0 -1.9239853372783358e-08 -6.477162358216563e-08
60 360 0 0 0 2.4167066676291032e-08 -3.840313964917578e-08
61 366 0 0 0 3.0885186090994395e-08 -3.509670547908308e-08
62 372 0 0 0 1.806354206174222e-08 -1.5156950802231673e-08
63 378 0 0 0 -8.714692823672622e-09 9.023290646700838e-09
64 384 0 0 0 -5.145195543218619e-09 1.796255646106636e-08
65 390 0 0 0 -4.5411250595632916e-09 9.13869370324408e-10
66 396 0 0 0 8.316516658566421e-09 -1.4651774962372564e-09
67 402 0 0 0 -3.315023446006723e-09 3.103606749510772e-10
68 408 0 0 0 7.313241887556929e-09 1.3132891197726535e-09
69 414 0 0 0 3.968535482655971e-09 3.4437418200645215e-09
70 420 0 0 0 -5.132156957300824e-10 -2.299908246619763e-09
71 426 0 0 0 -3.3690403354375725e-10 -2.224137800668869e-09
72 432 0 0 0 -6.309088175225788e-10 4.71886643224063e-10
73 438 0 0 0 2.8911849410567067e-09 2.4540541829792207e-09
74 444 0 0 0 -1.45877203980024e-09 5.589230158052039e-10
75 450 0 0 0 -1.2408389937781082e-09 9.625832145881296e-10
